DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-10-29 07:00:00,12 °C,11.1 °C,—,0 mm,7 km/h,14.8 km/h,1023 hPa,94 %
2024-10-29 08:00:00,15 °C,13 °C,—,0 mm,6 km/h,—,1024 hPa,88 %
2024-10-29 09:00:00,14.6 °C,12.6 °C,—,0 mm,5 km/h,—,1024.3 hPa,88 %
2024-10-29 10:00:00,17 °C,11.9 °C,—,0 mm,13 km/h,—,1024 hPa,72 %
2024-10-29 11:00:00,19 °C,12 °C,—,0 mm,15 km/h,—,1024 hPa,64 %
2024-10-28 06:00:00,10.3 °C,9.1 °C,—,0 mm,11 km/h,—,1024 hPa,92 %
2024-10-28 07:00:00,11 °C,9.1 °C,—,0 mm,7 km/h,18.5 km/h,1024 hPa,88 %
2024-10-28 08:00:00,14 °C,12 °C,—,0 mm,2 km/h,—,1025 hPa,88 %
2024-10-28 09:00:00,13.4 °C,11.3 °C,—,0 mm,2 km/h,—,1024.7 hPa,87 %
2024-10-28 10:00:00,16 °C,11 °C,—,0 mm,9 km/h,—,1025 hPa,72 %
2024-10-28 11:00:00,17 °C,11.1 °C,—,0 mm,7 km/h,—,1025 hPa,68 %
2024-10-27 06:00:00,12.7 °C,9.9 °C,—,0 mm,18 km/h,—,1026.2 hPa,83 %
2024-10-27 07:00:00,13 °C,10 °C,—,0 mm,17 km/h,27.8 km/h,1026 hPa,82 %
2024-10-27 08:00:00,15 °C,10 °C,—,0 mm,15 km/h,—,1026 hPa,72 %
2024-10-27 09:00:00,14.7 °C,10.1 °C,—,0 mm,15 km/h,—,1026.5 hPa,74 %
2024-10-27 10:00:00,18 °C,11.1 °C,—,0 mm,22 km/h,—,1026 hPa,64 %
2024-10-27 11:00:00,19 °C,10 °C,—,0 mm,19 km/h,—,1026 hPa,56 %
2024-10-26 06:00:00,11.6 °C,7.5 °C,—,0 mm,8 km/h,—,1027.3 hPa,76 %
2024-10-26 07:00:00,13 °C,8.1 °C,—,0 mm,13 km/h,18.5 km/h,1027 hPa,72 %
2024-10-26 08:00:00,14 °C,8 °C,—,0 mm,9 km/h,—,1027 hPa,67 %
2024-10-26 09:00:00,14.2 °C,8.6 °C,—,0 mm,9 km/h,—,1028 hPa,69 %
2024-10-26 10:00:00,18 °C,9.1 °C,—,0 mm,24 km/h,—,1027 hPa,56 %
2024-10-26 11:00:00,18 °C,8 °C,—,0 mm,22 km/h,—,1027 hPa,52 %
2024-10-25 06:00:00,15 °C,11.4 °C,—,0 mm,17 km/h,—,1028 hPa,79 %
2024-10-25 07:00:00,16 °C,12 °C,—,0 mm,26 km/h,29.6 km/h,1027 hPa,77 %
2024-10-25 08:00:00,16 °C,11 °C,—,0 mm,24 km/h,—,1028 hPa,72 %
2024-10-25 09:00:00,15.9 °C,11.1 °C,—,0 mm,24 km/h,—,1028.3 hPa,73 %
2024-10-25 10:00:00,17 °C,11.1 °C,—,0.2 mm,28 km/h,—,1028 hPa,68 %
2024-10-25 11:00:00,17 °C,11.1 °C,—,0 mm,26 km/h,—,1028 hPa,68 %
2024-10-24 06:00:00,12.8 °C,10.3 °C,—,0 mm,11 km/h,—,1030 hPa,85 %
2024-10-24 07:00:00,13 °C,10 °C,—,0 mm,15 km/h,22.2 km/h,1030 hPa,82 %
2024-10-24 08:00:00,15 °C,10 °C,—,0 mm,20 km/h,—,1030 hPa,72 %
2024-10-24 09:00:00,15 °C,10.2 °C,—,0 mm,21 km/h,—,1030.7 hPa,73 %
2024-10-24 10:00:00,18 °C,9.1 °C,—,0 mm,26 km/h,—,1030 hPa,56 %
2024-10-24 11:00:00,18 °C,8 °C,—,0 mm,22 km/h,—,1030 hPa,52 %
2024-10-23 06:00:00,11.8 °C,9.2 °C,—,0 mm,11 km/h,—,1029.2 hPa,84 %
2024-10-23 07:00:00,11 °C,9.1 °C,—,0 mm,9 km/h,20.4 km/h,1029 hPa,88 %
2024-10-23 08:00:00,14 °C,10 °C,—,0 mm,9 km/h,—,1030 hPa,77 %
2024-10-23 09:00:00,14 °C,10 °C,—,0 mm,9 km/h,—,1029.7 hPa,77 %
2024-10-23 10:00:00,17 °C,8.9 °C,—,0 mm,20 km/h,—,1030 hPa,59 %
2024-10-23 11:00:00,19 °C,8.9 °C,—,0 mm,20 km/h,—,1029 hPa,52 %
2024-10-22 06:00:00,10.5 °C,7.6 °C,—,0 mm,11 km/h,—,1032.1 hPa,82 %
2024-10-22 07:00:00,11 °C,8 °C,—,0 mm,7 km/h,20.4 km/h,1032 hPa,82 %
2024-10-22 08:00:00,14 °C,9 °C,—,0 mm,9 km/h,—,1032 hPa,72 %
