DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2023-08-15 17:00:00,28 °C,22 °C,—,0 mm,14.8 km/h,—,1011 hPa,70 %
2023-08-14 12:00:00,28.5 °C,20.5 °C,—,0 mm,31.3 km/h,—,1013.7 hPa,62 %
2023-08-14 13:00:00,29 °C,21 °C,—,0 mm,40.7 km/h,—,1013 hPa,62 %
2023-08-14 14:00:00,28 °C,22 °C,—,0 mm,35.3 km/h,—,1013 hPa,70 %
2023-08-14 15:00:00,27.7 °C,21.7 °C,—,0 mm,35.3 km/h,—,1013 hPa,70 %
2023-08-14 16:00:00,28 °C,22 °C,—,0 mm,31.7 km/h,—,1013 hPa,70 %
2023-08-14 17:00:00,28 °C,22 °C,—,0 mm,31.7 km/h,—,1012 hPa,70 %
2023-08-13 12:00:00,27.1 °C,18.9 °C,—,0 mm,40.7 km/h,—,1015.1 hPa,61 %
2023-08-13 13:00:00,27 °C,20.1 °C,—,0 mm,35.3 km/h,—,1015 hPa,66 %
2023-08-13 14:00:00,27 °C,20.1 °C,—,0 mm,37.1 km/h,—,1014 hPa,66 %
2023-08-13 15:00:00,28.2 °C,18.9 °C,—,0 mm,44.3 km/h,—,1014.6 hPa,57 %
2023-08-13 16:00:00,28 °C,19 °C,—,0 mm,40.7 km/h,—,1014 hPa,58 %
2023-08-13 17:00:00,27 °C,21.1 °C,—,0 mm,37.1 km/h,—,1014 hPa,70 %
2023-08-12 12:00:00,28 °C,15 °C,—,0 mm,35.3 km/h,—,1017 hPa,45 %
2023-08-12 13:00:00,29 °C,14 °C,—,0 mm,37.1 km/h,—,1016 hPa,40 %
2023-08-12 14:00:00,30 °C,12.9 °C,—,0 mm,38.9 km/h,—,1016 hPa,35 %
2023-08-12 15:00:00,29.6 °C,11.6 °C,—,0 mm,42.5 km/h,—,1016.1 hPa,33 %
2023-08-12 16:00:00,29 °C,14 °C,—,0 mm,44.6 km/h,—,1015 hPa,40 %
2023-08-12 17:00:00,28 °C,16 °C,—,0 mm,42.5 km/h,—,1015 hPa,48 %
2023-08-11 12:00:00,26.2 °C,16.4 °C,—,0 mm,29.5 km/h,—,1016.8 hPa,55 %
