DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-10-27 19:00:00,15 °C,11 °C,—,0 mm,22 km/h,—,1025 hPa,77 %
2024-10-27 20:00:00,15 °C,11 °C,—,0 mm,20 km/h,—,1025 hPa,77 %
2024-10-27 21:00:00,15 °C,10.8 °C,—,0 mm,18 km/h,—,1025.2 hPa,76 %
2024-10-27 22:00:00,15 °C,11 °C,—,0 mm,15 km/h,—,1025 hPa,77 %
2024-10-27 23:00:00,13 °C,11.1 °C,—,0 mm,11 km/h,—,1025 hPa,88 %
2024-10-26 18:00:00,16.1 °C,8.3 °C,—,0 mm,28 km/h,—,1026.5 hPa,60 %
2024-10-26 19:00:00,15 °C,8.9 °C,—,0 mm,20 km/h,—,1027 hPa,67 %
2024-10-26 20:00:00,14 °C,9 °C,—,0 mm,19 km/h,—,1027 hPa,72 %
2024-10-26 21:00:00,14 °C,9.2 °C,—,0 mm,17 km/h,—,1027.5 hPa,73 %
2024-10-26 22:00:00,13 °C,9.1 °C,—,0 mm,19 km/h,—,1027 hPa,77 %
2024-10-26 23:00:00,13 °C,9.1 °C,—,0 mm,17 km/h,—,1026 hPa,77 %
2024-10-25 18:00:00,16 °C,9.4 °C,—,0 mm,31 km/h,—,1026.2 hPa,65 %
2024-10-25 19:00:00,15 °C,8.9 °C,—,0 mm,26 km/h,—,1027 hPa,67 %
2024-10-25 20:00:00,15 °C,8.9 °C,—,0 mm,22 km/h,—,1027 hPa,67 %
2024-10-25 21:00:00,14.8 °C,8.5 °C,—,0 mm,22 km/h,—,1027.3 hPa,66 %
2024-10-25 22:00:00,13 °C,9.1 °C,—,0 mm,13 km/h,—,1027 hPa,77 %
2024-10-25 23:00:00,13 °C,9.1 °C,—,0 mm,13 km/h,—,1027 hPa,77 %
2024-10-24 18:00:00,17 °C,6.8 °C,—,0 mm,21 km/h,—,1029.8 hPa,51 %
2024-10-24 19:00:00,15 °C,10 °C,—,0 mm,13 km/h,—,1030 hPa,72 %
2024-10-24 20:00:00,14 °C,10 °C,—,0 mm,13 km/h,—,1029 hPa,77 %
2024-10-24 21:00:00,14 °C,10 °C,—,0 mm,11 km/h,—,1029.9 hPa,77 %
2024-10-24 22:00:00,15 °C,11 °C,—,0 mm,11 km/h,—,1029 hPa,77 %
