DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-10-25 01:00:00,14 °C,11 °C,—,0 mm,11 km/h,—,1029 hPa,82 %
2024-10-25 02:00:00,13 °C,10 °C,—,0 mm,9 km/h,—,1028 hPa,82 %
2024-10-25 03:00:00,13.2 °C,10.2 °C,—,0 mm,9 km/h,—,1028.8 hPa,82 %
2024-10-25 04:00:00,14 °C,11 °C,—,0 mm,7 km/h,—,1028 hPa,82 %
2024-10-25 05:00:00,15 °C,11 °C,—,0 mm,17 km/h,—,1027 hPa,77 %
2024-10-24 01:00:00,13 °C,10 °C,—,0 mm,11 km/h,—,1029 hPa,82 %
2024-10-24 02:00:00,14 °C,10 °C,—,0 mm,13 km/h,—,1029 hPa,77 %
2024-10-24 03:00:00,13.5 °C,10.3 °C,—,0 mm,13 km/h,—,1029.9 hPa,81 %
2024-10-24 04:00:00,12 °C,10.1 °C,—,0 mm,11 km/h,—,1029 hPa,88 %
2024-10-24 05:00:00,13 °C,10 °C,—,0 mm,11 km/h,—,1030 hPa,82 %
2024-10-23 01:00:00,13 °C,10 °C,—,0 mm,7 km/h,—,1030 hPa,82 %
2024-10-23 02:00:00,13 °C,9.1 °C,—,0 mm,9 km/h,—,1030 hPa,77 %
2024-10-23 03:00:00,12.8 °C,9.2 °C,—,0 mm,9 km/h,—,1029.6 hPa,79 %
2024-10-23 04:00:00,11 °C,9.1 °C,—,0 mm,6 km/h,—,1030 hPa,88 %
2024-10-23 05:00:00,12 °C,9 °C,—,0 mm,11 km/h,—,1029 hPa,82 %
2024-10-22 01:00:00,12 °C,8.1 °C,—,0 mm,7 km/h,—,1032 hPa,77 %
2024-10-22 02:00:00,12 °C,8.1 °C,—,0 mm,11 km/h,—,1032 hPa,77 %
2024-10-22 03:00:00,11.8 °C,8.1 °C,—,0 mm,11 km/h,—,1031.7 hPa,78 %
2024-10-22 04:00:00,12 °C,8.1 °C,—,0 mm,11 km/h,—,1031 hPa,77 %
2024-10-22 05:00:00,11 °C,8 °C,—,0 mm,11 km/h,—,1032 hPa,82 %
2024-10-21 01:00:00,13 °C,8.1 °C,—,0 mm,9 km/h,—,1032 hPa,72 %
2024-10-21 02:00:00,12 °C,9 °C,—,0 mm,9 km/h,—,1032 hPa,82 %
2024-10-21 03:00:00,12.2 °C,8.7 °C,—,0 mm,9 km/h,—,1032.3 hPa,79 %
2024-10-21 04:00:00,12 °C,8.1 °C,—,0 mm,11 km/h,—,1032 hPa,77 %
2024-10-21 05:00:00,12 °C,7.1 °C,—,0 mm,13 km/h,—,1032 hPa,72 %
2024-10-20 01:00:00,11 °C,5.9 °C,—,0 mm,13 km/h,—,1027 hPa,71 %
2024-10-20 02:00:00,10 °C,6 °C,—,0 mm,11 km/h,—,1027 hPa,76 %
2024-10-20 03:00:00,10.1 °C,5.9 °C,—,0 mm,11 km/h,—,1027.7 hPa,75 %
2024-10-20 04:00:00,10 °C,6 °C,—,0 mm,9 km/h,—,1027 hPa,76 %
2024-10-20 05:00:00,10 °C,5 °C,—,0 mm,6 km/h,—,1027 hPa,71 %
2024-10-19 01:00:00,12 °C,9 °C,—,0 mm,9 km/h,—,1024 hPa,82 %
2024-10-19 02:00:00,12 °C,8.1 °C,—,0 mm,6 km/h,—,1024 hPa,77 %
2024-10-19 03:00:00,12.1 °C,8.4 °C,—,0 mm,5 km/h,—,1024.3 hPa,78 %
2024-10-19 04:00:00,12 °C,7.1 °C,—,0 mm,11 km/h,—,1024 hPa,72 %
2024-10-19 05:00:00,12 °C,8.1 °C,—,0 mm,7 km/h,—,1024 hPa,77 %
2024-10-18 01:00:00,13 °C,8.1 °C,—,0.1 mm,7 km/h,—,1027 hPa,72 %
2024-10-18 02:00:00,12 °C,8.1 °C,—,0.2 mm,7 km/h,—,1026 hPa,77 %
2024-10-18 03:00:00,12.3 °C,7.6 °C,—,0 mm,8 km/h,—,1026.3 hPa,73 %
2024-10-18 04:00:00,13 °C,7 °C,—,0 mm,9 km/h,—,1026 hPa,67 %
2024-10-18 05:00:00,13 °C,9.1 °C,—,0 mm,6 km/h,—,1026 hPa,77 %
2024-10-17 01:00:00,15 °C,8 °C,—,0 mm,17 km/h,—,1025 hPa,63 %
2024-10-17 02:00:00,15 °C,8.9 °C,—,0 mm,17 km/h,—,1025 hPa,67 %
2024-10-17 03:00:00,14.9 °C,8.8 °C,—,0 mm,17 km/h,—,1025.3 hPa,67 %
2024-10-17 04:00:00,14 °C,9 °C,—,0 mm,13 km/h,—,1024 hPa,72 %
2024-10-17 05:00:00,15 °C,8.9 °C,—,0 mm,19 km/h,—,1025 hPa,67 %
2024-10-16 00:00:00,16.8 °C,14.3 °C,—,0 mm,11 km/h,—,1020.4 hPa,85 %
2024-10-16 01:00:00,16 °C,14 °C,—,0 mm,7 km/h,—,1020 hPa,88 %
2024-10-16 02:00:00,16 °C,14 °C,—,0 mm,7 km/h,—,1020 hPa,88 %
2024-10-16 03:00:00,15.6 °C,13.6 °C,—,0 mm,8 km/h,—,1020.2 hPa,88 %
2024-10-16 04:00:00,15 °C,14 °C,—,0 mm,9 km/h,—,1020 hPa,94 %
2024-10-16 05:00:00,15 °C,14 °C,—,0 mm,11 km/h,—,1020 hPa,94 %
2024-10-15 01:00:00,15 °C,12 °C,—,0 mm,11 km/h,—,1019 hPa,82 %
2024-10-15 02:00:00,15 °C,12 °C,—,0 mm,11 km/h,—,1019 hPa,82 %
2024-10-15 03:00:00,15.1 °C,12 °C,—,0 mm,11 km/h,—,1018.8 hPa,82 %
2024-10-15 04:00:00,14 °C,12 °C,—,0 mm,13 km/h,—,1018 hPa,88 %
2024-10-15 05:00:00,14 °C,12 °C,—,0 mm,13 km/h,—,1018 hPa,88 %
2024-10-14 01:00:00,15 °C,12 °C,—,0 mm,9 km/h,—,1017 hPa,82 %
2024-10-14 02:00:00,15 °C,12 °C,—,0 mm,11 km/h,—,1017 hPa,82 %
2024-10-14 03:00:00,14.6 °C,12.5 °C,—,0 mm,11 km/h,—,1017.4 hPa,87 %
2024-10-14 04:00:00,14 °C,12 °C,—,0 mm,11 km/h,—,1017 hPa,88 %
2024-10-14 05:00:00,14 °C,12 °C,—,0 mm,7 km/h,—,1017 hPa,88 %
2024-10-13 01:00:00,17 °C,14.1 °C,—,0 mm,19 km/h,—,1018 hPa,83 %
2024-10-13 02:00:00,17 °C,14.1 °C,—,0 mm,22 km/h,—,1017 hPa,83 %
2024-10-13 03:00:00,16.8 °C,14.4 °C,—,0 mm,22 km/h,—,1017.9 hPa,86 %
2024-10-13 04:00:00,17 °C,14.1 °C,—,0 mm,20 km/h,—,1017 hPa,83 %
2024-10-13 05:00:00,17 °C,14.1 °C,—,0 mm,17 km/h,—,1018 hPa,83 %
2024-10-12 01:00:00,22 °C,16.1 °C,—,0 mm,6 km/h,—,1009 hPa,69 %
2024-10-12 02:00:00,21 °C,16 °C,—,0 mm,4 km/h,—,1009 hPa,73 %
2024-10-12 03:00:00,21 °C,16 °C,—,0 mm,4 km/h,—,1009.5 hPa,73 %
2024-10-12 04:00:00,21 °C,16 °C,—,0 mm,4 km/h,—,1009 hPa,73 %
2024-10-12 05:00:00,21 °C,16 °C,—,0 mm,4 km/h,—,1010 hPa,73 %
2024-10-11 01:00:00,22 °C,18 °C,—,0 mm,13 km/h,—,1009 hPa,78 %
2024-10-11 02:00:00,22 °C,19.9 °C,—,0 mm,15 km/h,—,1009 hPa,88 %
2024-10-11 03:00:00,21.6 °C,19.5 °C,—,0 mm,15 km/h,—,1009 hPa,88 %
2024-10-11 04:00:00,21 °C,18 °C,—,0 mm,7 km/h,—,1009 hPa,83 %
2024-10-11 05:00:00,21 °C,18 °C,—,0 mm,7 km/h,—,1009 hPa,83 %
2024-10-10 01:00:00,21 °C,18 °C,—,0 mm,19 km/h,—,1011 hPa,83 %
